Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
759,Rider,Hannes Soomer,24.547593864696818,3.7705449279547896,13.23595908083245,2,2023-09-08,Honda CBR1000RR-R [2023],World Superbikes,
760,Rider,Florian Alt,21.393942001232816,4.644097042149394,7.461650874784635,1,2023-10-27,Honda CBR1000RR-R [2023],World Superbikes,
761,Rider,Nicolò Bulega,50.27137739401574,1.4949805911539642,45.786435620553846,25,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
762,Bike,Ducati Panigale V4 R [2024],26.90195818155256,1.8073665048073588,21.479858667130483,12,2024-10-18,,World Superbikes,
763,Rider,Andrea Iannone,39.350316690112585,1.3624592481852638,35.2629389455568,23,2025-10-17,Ducati Panigale V4 R [2025],World Superbikes,
764,Bike,Kawasaki ZX-10RR [2024],28.30482143287882,1.7879451957185686,22.940985845723116,12,2024-10-18,,World Superbikes,
765,Bike,Yamaha YZF-R1 [2024],23.551306582896267,1.8017340312946621,18.14610448901228,12,2024-10-18,,World Superbikes,
766,Bike,BMW M 1000 RR [2024],27.579293877118516,1.7860593863578307,22.221115718045024,12,2024-10-18,,World Superbikes,
767,Rider,Sam Lowes,41.43606825572026,1.3880910441526857,37.2717951232622,23,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
768,Bike,Honda CBR1000RR-R [2024],22.228597459387682,1.9077944484369354,16.505214114076878,12,2024-10-18,,World Superbikes,
769,Rider,Adam Norrodin,20.167785733410817,3.0103519675742043,11.136729830688203,6,2024-08-10,Honda CBR1000RR-R [2024],World Superbikes,
770,Rider,Nicholas Spinelli,25.941063589456967,3.698572866968356,14.845344988551897,2,2025-10-17,Ducati Panigale V4 R [2025],World Superbikes,
771,Rider,Hayden Gillim,21.089045544444012,4.993000895906262,6.110042856725226,1,2024-07-19,Honda CBR1000RR-R [2024],World Superbikes,
772,Rider,Kyle Ryde,22.056833063983603,4.508952390958833,8.529975891107103,1,2024-10-18,Yamaha YZF-R1 [2024],World Superbikes,
773,Bike,Ducati Panigale V4 R [2025],27.78841618038291,1.8314175399200243,22.294163560622838,12,2025-10-17,,World Superbikes,
774,Bike,BMW M 1000 RR [2025],29.725670406224282,1.8630697009368713,24.136461303413668,12,2025-10-17,,World Superbikes,
775,Bike,Yamaha YZF-R1 [2025],22.261582152585174,1.8051699568607826,16.846072282002826,12,2025-10-17,,World Superbikes,
776,Bike,Bimota KB998 Rimini [2025],26.95854458569754,1.771981384380516,21.64260043255599,12,2025-10-17,,World Superbikes,
777,Bike,Honda CBR1000RR-R [2025],22.334737772340354,1.9181528876233704,16.580279109470244,12,2025-10-17,,World Superbikes,
778,Rider,Yari Montella,33.634650445150356,1.7726890916472888,28.31658317020849,13,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
779,Bike,Kawasaki ZX-10RR [2025],21.87323200077972,1.759541789546689,16.59460663213965,12,2025-10-17,,World Superbikes,
780,Rider,Bahattin Sofuoglu,29.77610345012962,1.8089643873589392,24.349210288052802,13,2026-02-20,Yamaha YZF-R1 [2026],World Superbikes,
781,Rider,Zaqhwan Zaidi,18.248356365958486,2.4692659122501746,10.840558629207962,10,2025-10-17,Honda CBR1000RR-R [2025],World Superbikes,
782,Rider,Sergio Garcia,26.87111140104977,4.421608431588691,13.606286106283697,1,2025-09-05,Honda CBR1000RR-R [2025],World Superbikes,
783,Rider,Bobby Fong,21.307436340209367,3.951915948941656,9.451688493384399,2,2025-10-17,Yamaha YZF-R1 [2025],World Superbikes,
784,Rider,Lukas Tulovic,24.026466872755012,4.404415354843699,10.813220808223917,1,2025-10-17,Ducati Panigale V4 R [2025],World Superbikes,
785,Bike,Ducati Panigale V4 R [2026],27.38916296218494,4.586444510538614,13.629829430569098,1,2026-02-20,,World Superbikes,
786,Bike,Bimota KB998 Rimini [2026],27.972394807724804,4.425657063386687,14.695423617564742,1,2026-02-20,,World Superbikes,
787,Bike,BMW M 1000 RR [2026],23.105280876388562,4.8176194383249005,8.65242256141386,1,2026-02-20,,World Superbikes,
788,Bike,Kawasaki ZX-10RR [2026],26.014686789150456,4.368626704344911,12.908806676115724,1,2026-02-20,,World Superbikes,
789,Bike,Yamaha YZF-R1 [2026],21.586562916714808,4.628502548635295,7.701055270808924,1,2026-02-20,,World Superbikes,
790,Rider,Alberto Surra,28.455737459430207,4.880724268494502,13.8135646539467,1,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
791,Bike,Honda CBR1000RR-R SP [2026],24.098640322449057,4.53517999639852,10.493100333253496,1,2026-02-20,,World Superbikes,
792,Rider,Stefano Manzi,24.170227031607705,4.938429223698576,9.354939360511977,1,2026-02-20,Yamaha YZF-R1 [2026],World Superbikes,
793,Rider,Mattia Rato,22.045961144728146,5.031301464859196,6.952056750150559,1,2026-02-20,Yamaha YZF-R1 [2026],World Superbikes,
794,Rider,Miguel Oliveira,20.106109497515725,5.199336857246271,4.5080989257769115,1,2026-02-20,BMW M 1000 RR [2026],World Superbikes,
