Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
20,Rider,Alessandro Gramigni,2001,0,6,24.269905672813106,0.8660551140986247,23.901455456815146,0.876814166937733,Yamaha YZF-R7 [2001],World Superbikes
20,Rider,Alessandro Gramigni,2003,0,16,24.371998475322517,0.8276301589131599,24.323640484638126,0.8473373433713525,Yamaha YZF-R1 [2003],World Superbikes
20,Rider,Alessandro Gramigni,2005,0,2,24.08471432513944,0.8205171115739176,24.172538024789702,0.8217191598169609,Yamaha YZF-R1 [2005],World Superbikes
21,Rider,Scott Russell,1998,1,33,28.7413955416971,1.2660895512186143,28.028457394738155,2.575606998862925,Yamaha YZF 750 R [1998],World Superbikes
22,Rider,Neil Hodgson,1998,1,34,32.755590201433016,1.2419734365226998,30.73777292745129,2.549978241079907,Kawasaki ZX7R 750 [1998],World Superbikes
22,Rider,Neil Hodgson,2000,0,9,35.32682488840448,1.1053315334120097,34.685566524024985,1.1336799340074384,Ducati 996 RS [2000],World Superbikes
22,Rider,Neil Hodgson,2001,0,39,38.59144015539688,0.86651079069438,37.6768937988939,0.9587902171934476,Ducati 996 RS [2001],World Superbikes
22,Rider,Neil Hodgson,2002,0,39,40.02844821857072,0.8021174554615811,39.57686198491642,0.8309371517582294,Ducati 998 F01 [2002],World Superbikes
22,Rider,Neil Hodgson,2003,0,36,38.03717796505609,0.7812492715307429,39.110380501517334,0.7985663805810259,Ducati 999 F03 [2003],World Superbikes
23,Rider,Lucio Pedercini,1998,1,21,23.617207656779446,1.6864254855644276,23.4095931710657,3.1174453157851167,Ducati [1998],World Superbikes
23,Rider,Lucio Pedercini,1999,0,29,23.67097004598281,1.0700014635847828,23.717538840655163,1.2945533419150586,Ducati [1999],World Superbikes
23,Rider,Lucio Pedercini,2000,0,24,22.27053942372267,0.8996786419254058,22.84477902336529,0.9681639260522555,Ducati 996 RS [2000],World Superbikes
23,Rider,Lucio Pedercini,2001,0,32,22.964403814392227,0.8115681662280403,22.585159011310243,0.8505177779100747,Ducati 996 RS [2001],World Superbikes
23,Rider,Lucio Pedercini,2002,0,37,25.197937886548797,0.7741537735298201,24.354789840536554,0.7937375049965847,Ducati 998 RS [2002],World Superbikes
