Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
72,Rider,Georges Cordey,27.16586473780871,2.9191966744835827,18.408274714357965,4,1951-05-26,Norton [1951],MotoGP,
73,Rider,Benoit Musy,29.95344937774339,2.9312369890592453,21.15973841056565,4,1951-05-26,Moto Guzzi [1951],MotoGP,
74,Rider,Nandor Puhony,25.497859826241644,4.47514611931266,12.072421468303665,1,1949-07-02,Gilera [1949],MotoGP,
75,Rider,Laszlo Szabo,25.152914191758263,4.475386491742079,11.726754716532025,1,1949-07-02,Gilera [1949],MotoGP,
76,Rider,Dario Ambrosini,24.80884602610447,4.475835944950045,11.381338191254333,1,1949-07-02,Gilera [1949],MotoGP,
77,Rider,Fergus Anderson,29.64185091047468,1.4904594067413983,25.170472690250485,20,1955-07-02,Moto Guzzi [1955],MotoGP,
78,Rider,Carlo Bandirola,29.87181787363306,1.1870996342294184,26.310518970944806,34,1958-09-13,MV Agusta [1958],MotoGP,
79,Rider,Bruno Bertacchini,28.17958464651448,2.2121102761680502,21.54325381801033,8,1951-09-08,MV Agusta [1951],MotoGP,
80,Rider,Juhan Franta,23.43890910824295,4.475792263903592,10.011532316532175,1,1949-07-02,Moto Guzzi [1949],MotoGP,
81,Rider,Ernie Richard Thomas,17.841312346160034,2.2569276306539967,11.070529454198045,9,1951-09-08,Norton [1951],MotoGP,
82,Rider,Jean Behra,21.232099727016294,3.880425137258213,9.590824315241655,2,1951-07-13,Moto Guzzi [1951],MotoGP,
83,Rider,Umberto Masetti,33.09409576187005,1.2129659416016663,29.45519793706505,34,1958-09-13,MV Agusta [1958],MotoGP,
84,Rider,Oscar Clemencigh,25.36835565352408,3.292163462308984,15.491865266597129,3,1949-09-03,Gilera [1949],MotoGP,
85,Rider,Enrico Lorenzetti,28.759360442012046,1.8648135207563725,23.16491987974293,12,1954-07-03,Moto Guzzi [1954],MotoGP,
86,Rider,Dreikus Veer,25.60469173107058,2.6171829778491826,17.753142797523033,6,1956-06-29,Jawa [1956],MotoGP,
87,Rider,Edward C. Nicholls,29.95015938164108,3.7225372567724726,18.78254761132366,2,1949-08-19,Triumph [1949],MotoGP,
88,Rider,Jacques Schot,23.12807127862191,3.717523686549632,11.975500218973014,2,1950-07-07,Norton [1950],MotoGP,
89,Rider,Gerard Hoek,25.284516491520556,4.841523267972553,10.759946687602897,1,1949-07-08,BMW [1949],MotoGP,
90,Bike,BMW [1949],22.349119057838294,4.69007037175618,8.278907942569754,1,1949-07-08,,MotoGP,
91,Rider,Frank Fry,23.63335253049046,3.204088828414324,14.021086045247488,3,1951-06-07,Norton [1951],MotoGP,
92,Rider,Piet Knijnenburg,28.194392385689607,2.8451081461598826,19.65906794720996,5,1955-07-29,Matchless [1955],MotoGP,
93,Rider,Hub Pellikaan,20.974269153770134,4.234401025755534,8.271066076503534,2,1950-07-07,BMW [1950],MotoGP,
94,Rider,Jan Veer,19.165662706832833,3.8484840314279443,7.620210612549,2,1950-07-07,Triumph [1950],MotoGP,
95,Rider,David Whitworth,23.994094082455252,3.3414442378217055,13.969761368990135,3,1950-06-09,Triumph [1950],MotoGP,
96,Rider,Antonio Dalle Fusine,25.6406506412645,3.7461329519429962,14.402251785435512,2,1949-08-19,Gilera [1949],MotoGP,
97,Rider,Albert Vertriest,30.619658116585736,2.947687481869562,21.77659567097705,4,1951-06-30,Triumph [1951],MotoGP,
98,Rider,Jules Tacheny,28.036899677247607,4.438268290842723,14.722094804719438,1,1949-07-16,Triumph [1949],MotoGP,
99,Rider,Auguste Goffin,27.587301930218967,1.531831423790252,22.99180765884821,18,1956-07-07,Norton [1956],MotoGP,
100,Rider,Léon Martin,27.55345472308908,2.4908787565000132,20.08081845358904,6,1955-07-02,Gilera [1955],MotoGP,
101,Rider,Roger Laurent,24.429098775708063,3.6784712805777455,13.393684933974827,2,1953-07-04,Norton [1953],MotoGP,
102,Rider,Hans Haldemann,21.683392351279362,2.697704837812603,13.590277837841553,5,1955-08-12,Norton [1955],MotoGP,
103,Rider,Jock West,31.59289012841452,3.7452629023721977,20.357101421297926,2,1950-08-17,AJS [1950],MotoGP,
104,Rider,Cromie McCandless,36.493566254002694,2.724759528449348,28.31928766865465,5,1952-08-15,Gilera [1952],MotoGP,
105,Rider,James Scott,29.992184059098033,4.46236381968897,16.605092600031124,1,1949-08-19,Triumph [1949],MotoGP,
106,Rider,Ernie Callaghan,29.2040177115538,4.4559791601857865,15.83608023099644,1,1949-08-19,Triumph [1949],MotoGP,
107,Rider,Gerard Carter,25.015524161383038,3.7215286679999418,13.850938157383212,2,1950-08-17,Norton [1950],MotoGP,
108,Rider,Roland Dumond,25.577679345303522,4.441991119669416,12.251705986295274,1,1949-08-19,Moto Guzzi [1949],MotoGP,
109,Rider,Billy Graham,23.96637300416684,4.448948027799036,10.619528920769733,1,1949-08-19,Norton [1949],MotoGP,
110,Rider,Reginald MacDonald,25.547612523773278,2.2843322258389898,18.69461584625631,7,1953-08-14,AJS [1953],MotoGP,
111,Rider,Ashley Len Parry,24.798479902362732,2.907595006583031,16.07569488261364,4,1952-06-15,Norton [1952],MotoGP,
112,Rider,Tom Wycherley,18.29987564734256,4.801296544692832,3.8959860132640642,1,1949-08-19,Norton [1949],MotoGP,
113,Rider,Felice Benasedo,27.710582708237283,1.9347336758485967,21.906381680691492,11,1953-09-05,Moto Guzzi [1953],MotoGP,
114,Rider,Luigi Sabbadini,28.726714948582867,4.45760272427215,15.353906775766415,1,1949-09-03,Moto Guzzi [1949],MotoGP,
115,Rider,Sante Geminiani,27.064791669868832,2.332633061943858,20.066892484037258,7,1951-07-13,Moto Guzzi [1951],MotoGP,
116,Rider,Dante Bianchi,28.558091139279874,2.9095487492525534,19.829444891522215,4,1954-09-11,Moto Guzzi [1954],MotoGP,
117,Rider,Adelmo Mandolini,27.89530038473769,3.7141236430252413,16.752929455661967,2,1950-09-09,Moto Guzzi [1950],MotoGP,
118,Rider,Lodovico Facchinelli,24.337870395864233,2.3203260487734174,17.376892249543978,7,1955-09-03,Gilera [1955],MotoGP,
119,Rider,Orlando Valdinoci,27.19803807417265,3.7615198017975064,15.913478668780131,2,1955-04-30,Gilera [1955],MotoGP,
120,Rider,Alfeo Maramotti,26.248239451292633,4.453543393285085,12.887609271437377,1,1949-09-03,Moto Guzzi [1949],MotoGP,
121,Rider,Aldo Bernardoni,22.809764725689533,4.498121080020355,9.315401485628467,1,1949-09-03,Gilera [1949],MotoGP,
122,Rider,Aldo Brini,21.53388351992954,3.7522958342698285,10.276996017120053,2,1950-09-09,Gilera [1950],MotoGP,
123,Rider,Armando Miele,22.902016986479495,3.772215456768903,11.585370616172787,2,1950-09-09,Gilera [1950],MotoGP,
124,Rider,Emilio Soprani,15.487176746897966,3.54985486545153,4.837612150543375,3,1953-10-03,Gilera [1953],MotoGP,
125,Rider,Geoff Duke,35.71676093190512,1.0202653338088086,32.655964930478696,55,1959-09-05,Norton [1959],MotoGP,
126,Bike,Norton [1950],26.99946500885173,2.5027041422000087,19.491352582251704,6,1950-09-09,,MotoGP,
127,Bike,AJS [1950],27.925035815767135,2.462498816609005,20.53753936594012,6,1950-09-09,,MotoGP,
128,Bike,Velocette [1950],22.598545606685548,2.4801191919793264,15.158188030747569,6,1950-09-09,,MotoGP,
129,Rider,Dickie Dale,33.733917078934994,1.0719208783074272,30.518154444012712,42,1960-09-10,Norton [1960],MotoGP,
130,Bike,Vincent-HRD [1950],24.776264255805128,3.9352681471965973,12.970459814215335,2,1950-08-17,,MotoGP,
131,Bike,Triumph [1950],23.063485721579408,2.7097324516074015,14.934288366757203,6,1950-09-09,,MotoGP,
132,Rider,James Swarbrick,29.204713513930237,2.899846235690968,20.505174806857333,4,1950-07-22,Norton [1950],MotoGP,
133,Rider,John Simister,28.490093920258545,4.41831971622392,15.235134771586786,1,1950-06-09,Triumph [1950],MotoGP,
