Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
2107,Rider,Gustav Reiner,1983,0,6,24.316244629953744,1.495448933050216,23.801760175113426,1.5881482408423304,Suzuki [1983],MotoGP
2107,Rider,Gustav Reiner,1984,0,8,24.689422515616965,1.3045199211527532,24.609970555388244,1.3979592631413966,Honda RS [1984],MotoGP
2107,Rider,Gustav Reiner,1985,0,9,24.737742165973035,1.1585369180244889,24.861794898560376,1.2276749293770963,Bakker [1985],MotoGP
2107,Rider,Gustav Reiner,1986,0,4,24.918630094177775,1.1194302054014797,24.86564355144749,1.137706381402011,Bakker [1986],MotoGP
2107,Rider,Gustav Reiner,1987,0,10,24.652010805282817,1.0293254723695942,24.63494156940761,1.0751080878106556,Honda RS [1987],MotoGP
2107,Rider,Gustav Reiner,1988,0,2,24.702082947538294,1.0148321032088403,24.628289225315797,1.0189856810347224,Honda RS [1988],MotoGP
2109,Bike,Suzuki [1979],1979,1,12,25.44416116719573,2.031489143179983,25.42786095344266,3.3299600906048386,,MotoGP
2110,Rider,Franco Uncini,1979,1,11,30.583364700143534,2.129450962639638,30.712978912896038,3.7529538010087897,Suzuki [1979],MotoGP
2110,Rider,Franco Uncini,1980,0,8,31.87311642950774,1.6728784973989286,31.169147258218448,1.8830047153106682,Suzuki [1980],MotoGP
2110,Rider,Franco Uncini,1981,0,11,28.906514491193256,1.334380188857849,30.36026404974068,1.4927872339363233,Suzuki [1981],MotoGP
2110,Rider,Franco Uncini,1982,0,11,31.346924680694986,1.1695163156918922,31.0460139541529,1.2527054236331598,Suzuki [1982],MotoGP
2110,Rider,Franco Uncini,1983,0,8,31.386836188425292,1.0883506816907438,31.595119188958012,1.1290106470164674,Suzuki [1983],MotoGP
2110,Rider,Franco Uncini,1984,0,8,31.048304991588115,1.0242342466639116,31.15862534802781,1.0577282955667553,Suzuki XR45/50 [1984],MotoGP
2110,Rider,Franco Uncini,1985,0,11,30.229711413004583,0.9534733025512178,30.507796670838705,0.9892754231948712,Suzuki RG [1985],MotoGP
2112,Rider,Christian Sarron,1979,1,9,30.331840657789314,2.302629982564386,29.753660189175758,3.8792231163575734,Yamaha [1979],MotoGP
2112,Rider,Christian Sarron,1980,0,2,29.262480426228805,2.178612372806232,29.580046956726832,2.214812397258783,Yamaha [1980],MotoGP
2112,Rider,Christian Sarron,1981,0,10,26.588917010144307,1.5749187943792065,27.698447708499366,1.8455515148724941,Yamaha [1981],MotoGP
2112,Rider,Christian Sarron,1985,0,12,27.481524139851306,1.2872792768862864,27.86158769625186,1.426984374346094,Yamaha OW 81 [1985],MotoGP
2112,Rider,Christian Sarron,1986,0,10,27.480070807444157,1.1524181516044814,27.576557811921685,1.2185766029088425,Yamaha YZR [1986],MotoGP
2112,Rider,Christian Sarron,1987,0,14,28.000047897131065,1.0183410390908334,27.697282802229516,1.0838136302191674,Yamaha YZR [1987],MotoGP
2112,Rider,Christian Sarron,1988,0,15,28.228645442264455,0.9367560917020251,28.111274545139473,0.9790277658191827,Yamaha YZR [1988],MotoGP
2112,Rider,Christian Sarron,1989,0,15,29.604516457769545,0.8817045986664221,28.873828744562925,0.910818359533304,Yamaha YZR [1989],MotoGP
2112,Rider,Christian Sarron,1990,0,12,28.936116687618128,0.8535210575422986,29.425649579612287,0.8702853695365362,Yamaha YZR [1990],MotoGP
2111,Bike,Yamaha [1979],1979,1,12,24.047171503349073,2.1344599549340026,23.453325830840033,3.4321911106802485,,MotoGP
2113,Rider,Sergio Pellandini,1979,1,5,22.91347653179779,3.0596724027930646,23.465747257781846,4.588898101550928,Suzuki [1979],MotoGP
2113,Rider,Sergio Pellandini,1980,0,4,22.10450626290916,2.422522386218385,22.746902142469125,2.6926254430649723,Suzuki [1980],MotoGP
2113,Rider,Sergio Pellandini,1981,0,11,24.292787787123753,1.6133672089405218,23.67484115849318,1.963749022686382,Suzuki [1981],MotoGP
2113,Rider,Sergio Pellandini,1982,0,12,25.332944760111555,1.2835458499752168,24.61386352207913,1.4382119977405963,Suzuki [1982],MotoGP
2113,Rider,Sergio Pellandini,1983,0,10,26.254801127167468,1.1383535171995256,25.970252884745587,1.209613481272656,Suzuki [1983],MotoGP
2113,Rider,Sergio Pellandini,1984,0,11,26.226402808740186,1.032755814836318,26.352848627262986,1.0860836907679228,Suzuki XR45/50 [1984],MotoGP
2114,Rider,Giovanni Pelletier,1979,1,6,24.304800702690372,2.844683661775314,23.87702281195331,4.403477389838417,Suzuki [1979],MotoGP
2114,Rider,Giovanni Pelletier,1980,0,2,24.432206206788152,2.601928160085036,24.262850388053806,2.675191652083777,Morbidelli [1980],MotoGP
2114,Rider,Giovanni Pelletier,1981,0,9,24.48689961699344,1.7659949587543202,24.593594624157404,2.128302564994104,Suzuki [1981],MotoGP
2114,Rider,Giovanni Pelletier,1982,0,5,24.55164008765245,1.579787532690968,24.41955818401083,1.6646844792043127,Morbidelli [1982],MotoGP
2114,Rider,Giovanni Pelletier,1983,0,5,25.03044392412665,1.4189591539689217,24.564223969996117,1.482902326876276,Honda [1983],MotoGP
2115,Rider,Hiroyuki Kawasaki,1979,1,3,25.001683417925136,3.9375111381828964,27.694017863437093,4.975849624890085,Suzuki [1979],MotoGP
2115,Rider,Hiroyuki Kawasaki,1981,0,4,28.425791315770876,2.841171098247881,27.92714697117326,3.2688548892462097,Suzuki [1981],MotoGP
2115,Rider,Hiroyuki Kawasaki,1982,0,3,27.624522858504438,2.2901333645384034,27.477739786950607,2.454330250474882,Suzuki [1982],MotoGP
2116,Rider,Mike Baldwin,1979,1,4,31.91470120962615,3.520734028094779,28.97472355135121,4.650647561564373,Suzuki [1979],MotoGP
2116,Rider,Mike Baldwin,1981,0,3,26.971020184328335,2.7133066868715607,28.519092005322136,2.9736218947698956,Suzuki [1981],MotoGP
2116,Rider,Mike Baldwin,1985,0,10,28.179760262353,1.7452864131120058,27.187429723848606,2.1576580576562105,Honda RS [1985],MotoGP
2116,Rider,Mike Baldwin,1986,0,11,28.815700538695996,1.3920688518767594,28.95835316342656,1.5574893653040633,Yamaha YZR [1986],MotoGP
2116,Rider,Mike Baldwin,1987,0,5,28.13261159660634,1.2917973186464045,28.252922730585404,1.3391744179740805,Yamaha YZR [1987],MotoGP
2116,Rider,Mike Baldwin,1988,0,6,28.077078726255404,1.1887295215783773,27.939742627817026,1.2352515154815973,Honda RS [1988],MotoGP
2118,Rider,Seppo Rossi,1979,1,8,24.496525918068635,2.3645208221606024,23.492774244878248,3.746864171290162,Suzuki [1979],MotoGP
2118,Rider,Seppo Rossi,1980,0,6,24.266587585292967,1.8346552346985165,24.54196080777496,2.0516262161387746,Suzuki [1980],MotoGP
2118,Rider,Seppo Rossi,1981,0,10,25.66587765439867,1.4400433657239675,24.7623996326233,1.6220419722902613,Suzuki [1981],MotoGP
2118,Rider,Seppo Rossi,1982,0,11,25.59256425557167,1.2094840341286197,25.71094312364332,1.3196526546152807,Suzuki [1982],MotoGP
2120,Rider,Elmar Renner,1979,1,2,24.387416070065996,4.720029521447205,23.04738415574758,5.381477453145508,Suzuki [1979],MotoGP
2121,Rider,Henk de Vries,1979,1,6,23.66685858724739,2.72955221898688,24.730864141569437,3.9295039083590355,Suzuki [1979],MotoGP
2121,Rider,Henk de Vries,1980,0,2,24.054970679804676,2.382906754736067,24.256080034477307,2.4693847771726998,Suzuki [1980],MotoGP
2121,Rider,Henk de Vries,1981,0,2,24.112369097110566,2.23825547680794,24.08201961614828,2.2819739858236723,Suzuki [1981],MotoGP
2121,Rider,Henk de Vries,1982,0,2,24.164460265430932,2.0193557890188356,24.104932156628976,2.0738889974624586,Suzuki [1982],MotoGP
2121,Rider,Henk de Vries,1983,0,2,24.688293351425425,1.8654335169146796,24.47128985162442,1.904521576398715,Suzuki [1983],MotoGP
2121,Rider,Henk de Vries,1984,0,2,24.85527380196537,1.741213534364819,24.719633875527904,1.772456508788571,Suzuki RGB [1984],MotoGP
2122,Rider,Max Nöthiger,1979,1,2,23.85324460594971,4.4193400310952375,24.560353728939027,5.069835415157439,Suzuki [1979],MotoGP
